Last,First,Solo,Ast,Tot,TFL,tfl_yds,FF,FR,fr_yds,Int,int_yds,BrUp,Blkd,Sack,sack_yds,QH,GameID,Date,Home Team,Away Team,Home Score,Away Score,Texas Result,Link,Season
Gbenda,David,3,3,6,0.5,5,0.0,0,0.0,0.0,0.0,0,0.0,0.5,5,0,rice_texas_9_2_2023,2023-09-02,texas,rice,37.0,10.0,Win,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023
Muhammad,Malik,5,0,5,0,0,0.0,0,0.0,0.0,0.0,1,0.0,0,0,0,rice_texas_9_2_2023,2023-09-02,texas,rice,37.0,10.0,Win,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023
Ford,Jaylan,1,4,5,0,0,0.0,0,0.0,1.0,0.0,0,0.0,0,0,0,rice_texas_9_2_2023,2023-09-02,texas,rice,37.0,10.0,Win,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023
Sweat,T'Vondre,2,3,5,0.5,1,0.0,0,0.0,0.0,0.0,0,0.0,0,0,2,rice_texas_9_2_2023,2023-09-02,texas,rice,37.0,10.0,Win,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023
Williams Jr.,Derek,1,2,3,0,0,0.0,0,0.0,0.0,0.0,1,0.0,0,0,0,rice_texas_9_2_2023,2023-09-02,texas,rice,37.0,10.0,Win,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023
Taaffe,Michael,1,2,3,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,rice_texas_9_2_2023,2023-09-02,texas,rice,37.0,10.0,Win,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023
Murphy II,Byron,0,3,3,0.5,4,0.0,0,0.0,0.0,0.0,0,0.0,0.5,4,1,rice_texas_9_2_2023,2023-09-02,texas,rice,37.0,10.0,Win,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023
Burke,Ethan,1,2,3,1.0,6,0.0,0,0.0,0.0,0.0,0,0.0,1.0,6,0,rice_texas_9_2_2023,2023-09-02,texas,rice,37.0,10.0,Win,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023
Guilbeau,Jaylon,1,1,2,1.0,2,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,rice_texas_9_2_2023,2023-09-02,texas,rice,37.0,10.0,Win,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023
Crawford,Kitan,2,0,2,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,rice_texas_9_2_2023,2023-09-02,texas,rice,37.0,10.0,Win,https://texassports.com/sports/football/stats/2023/rice/boxscore/15528,2023
