##,Last,First,Solo,Ast,Tot,TFL,tfl_yds,FF,FR,fr_yds,Int,int_yds,BrUp,Blkd,Sack,sack_yds,QH,GameID,Date,Home Team,Away Team,Home Score,Away Score,Texas Result,Link,Season
81,Acho,Sam,7.0,3.0,10.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,texas_nebraska_12_5_2009,2009-12-05,nebraska,texas,12.0,13.0,Win,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009
1A,Robinson,Keenan,6.0,4.0,10.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,texas_nebraska_12_5_2009,2009-12-05,nebraska,texas,12.0,13.0,Win,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009
33,Houston,Lamarr,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,texas_nebraska_12_5_2009,2009-12-05,nebraska,texas,12.0,13.0,Win,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009
38,Muckelroy,Roddrick,4.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,texas_nebraska_12_5_2009,2009-12-05,nebraska,texas,12.0,13.0,Win,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009
92,Alexander,Ben,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,texas_nebraska_12_5_2009,2009-12-05,nebraska,texas,12.0,13.0,Win,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009
4A,Williams,Aaron,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,texas_nebraska_12_5_2009,2009-12-05,nebraska,texas,12.0,13.0,Win,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009
2A,Kindle,Sergio,2.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,texas_nebraska_12_5_2009,2009-12-05,nebraska,texas,12.0,13.0,Win,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009
1D,Thomas,Earl,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,texas_nebraska_12_5_2009,2009-12-05,nebraska,texas,12.0,13.0,Win,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009
18,Acho,Emmanuel,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,texas_nebraska_12_5_2009,2009-12-05,nebraska,texas,12.0,13.0,Win,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009
82,Graham,Trey,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,texas_nebraska_12_5_2009,2009-12-05,nebraska,texas,12.0,13.0,Win,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009
