##,Last,First,Solo,Ast,Tot,TFL,tfl_yds,FF,FR,fr_yd,Int,int_yds,BrUp,Blkd,Sack,sack_yds,QH,GameID,Date,Home Team,Away Team,Home Score,Away Score,Texas Result,Link,Season
38,Muckelroy,Roddrick,4.0,2.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,floridaatlantic_texas_8_30_2008,2008-08-30,texas,florida atlantic,52.0,10.0,Win,http://stats.texassports.com/sports/m-footbl/2008-2009/ut1.html,2008
1D,Thomas,Earl,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,floridaatlantic_texas_8_30_2008,2008-08-30,texas,florida atlantic,52.0,10.0,Win,http://stats.texassports.com/sports/m-footbl/2008-2009/ut1.html,2008
11,Norton,Jared,3.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,floridaatlantic_texas_8_30_2008,2008-08-30,texas,florida atlantic,52.0,10.0,Win,http://stats.texassports.com/sports/m-footbl/2008-2009/ut1.html,2008
44,Bobino,Rashad,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,floridaatlantic_texas_8_30_2008,2008-08-30,texas,florida atlantic,52.0,10.0,Win,http://stats.texassports.com/sports/m-footbl/2008-2009/ut1.html,2008
99,Miller,Roy,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,floridaatlantic_texas_8_30_2008,2008-08-30,texas,florida atlantic,52.0,10.0,Win,http://stats.texassports.com/sports/m-footbl/2008-2009/ut1.html,2008
98,Orakpo,Brian,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,floridaatlantic_texas_8_30_2008,2008-08-30,texas,florida atlantic,52.0,10.0,Win,http://stats.texassports.com/sports/m-footbl/2008-2009/ut1.html,2008
33,Houston,Lamarr,2.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,floridaatlantic_texas_8_30_2008,2008-08-30,texas,florida atlantic,52.0,10.0,Win,http://stats.texassports.com/sports/m-footbl/2008-2009/ut1.html,2008
6A,Scott,Christian,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,floridaatlantic_texas_8_30_2008,2008-08-30,texas,florida atlantic,52.0,10.0,Win,http://stats.texassports.com/sports/m-footbl/2008-2009/ut1.html,2008
42,Earnest,Dustin,1.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,floridaatlantic_texas_8_30_2008,2008-08-30,texas,florida atlantic,52.0,10.0,Win,http://stats.texassports.com/sports/m-footbl/2008-2009/ut1.html,2008
3A,Brown,Curtis,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,floridaatlantic_texas_8_30_2008,2008-08-30,texas,florida atlantic,52.0,10.0,Win,http://stats.texassports.com/sports/m-footbl/2008-2009/ut1.html,2008
32,Jones,Eddie,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,floridaatlantic_texas_8_30_2008,2008-08-30,texas,florida atlantic,52.0,10.0,Win,http://stats.texassports.com/sports/m-footbl/2008-2009/ut1.html,2008
13,Palmer,Ryan,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,floridaatlantic_texas_8_30_2008,2008-08-30,texas,florida atlantic,52.0,10.0,Win,http://stats.texassports.com/sports/m-footbl/2008-2009/ut1.html,2008
2A,Kindle,Sergio,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,floridaatlantic_texas_8_30_2008,2008-08-30,texas,florida atlantic,52.0,10.0,Win,http://stats.texassports.com/sports/m-footbl/2008-2009/ut1.html,2008
46,Smith,Aaron,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,floridaatlantic_texas_8_30_2008,2008-08-30,texas,florida atlantic,52.0,10.0,Win,http://stats.texassports.com/sports/m-footbl/2008-2009/ut1.html,2008
21,Gideon,Blake,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,floridaatlantic_texas_8_30_2008,2008-08-30,texas,florida atlantic,52.0,10.0,Win,http://stats.texassports.com/sports/m-footbl/2008-2009/ut1.html,2008
