Player,Completions,Pass Attempts,Interceptions,Pass Yards,Passing TDs,Longest Pass,Sacks Taken,Rush Attempts,Rush Yards Gained,Rush Yards Lost,Net Rush Yards,Rushing TDs,Longest Rush,Yards Per Rush,Catches,Receiving Yards,Receiving TDs,Longest Reception,GameID,Link,Date,Home Team,Away Team,Home Score,Away Score,Texas Result
Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alabama_texas_1_1_1948,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-ala.htm,1948-01-01,texas,alabama,27.0,7.0,Win
"Layne, Bobby",4.0,12.0,1.0,53.0,1.0,0.0,0.0,7.0,33.0,1.0,32.0,1.0,0.0,4.6,0.0,0.0,0.0,0.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win
"Guess, Frank",1.0,1.0,0.0,16.0,0.0,16.0,0.0,2.0,22.0,0.0,22.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win
Total,5.0,13.0,1.0,69.0,1.0,16.0,0.0,48.0,239.0,20.0,219.0,4.0,13.0,4.6,5.0,69.0,1.0,20.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win
"Landry, Tom",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,54.0,0.0,54.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win
"Pyle, Billy",0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,50.0,3.0,47.0,1.0,0.0,4.3,1.0,10.0,0.0,10.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win
"Gillory, Byron",0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,8.0,22.0,1.0,0.0,5.5,0.0,0.0,0.0,0.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win
"Canady, Jim",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,2.0,15.0,0.0,0.0,2.1,1.0,9.0,0.0,9.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win
"Samuels, Perry",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,13.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win
"Clay, Randall",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,13.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win
"Jones, Raymond",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win
"Shands, H.J.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,16.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win
"Borneman, Ray",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,-5.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win
"Schwartzkopf, Dale",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,20.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win
"Bumgardner, Max",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,14.0,texas_texasa&m_11_27_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tamu.htm,1947-11-27,texas a&m,texas,13.0,32.0,Win
"Layne, Bobby",6.0,9.0,0.0,61.0,0.0,0.0,0.0,5.0,14.0,5.0,9.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,tcu_texas_11_15_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tcu.htm,1947-11-15,texas,tcu,20.0,0.0,Win
"Campbell, Paul",1.0,1.0,0.0,21.0,0.0,21.0,0.0,1.0,0.0,14.0,-14.0,0.0,0.0,-14.0,0.0,0.0,0.0,0.0,tcu_texas_11_15_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tcu.htm,1947-11-15,texas,tcu,20.0,0.0,Win
"Guess, Frank",1.0,1.0,0.0,31.0,1.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tcu_texas_11_15_1947,https://stats.texassports.com/custompages/sports/m-footbl/archive/stats/47/ut-tcu.htm,1947-11-15,texas,tcu,20.0,0.0,Win
