Player,Completions,Pass Attempts,Interceptions,Pass Yards,Passing TDs,Longest Pass,Sacks Taken,Rush Attempts,Rush Yards Gained,Rush Yards Lost,Net Rush Yards,Rushing TDs,Longest Rush,Yards Per Rush,Catches,Receiving Yards,Receiving TDs,Longest Reception,GameID,Link,Date,Home Team,Away Team,Home Score,Away Score,Texas Result
"McCoy, Colt",20,36,3,184,0,25,9,17,37,57,-20,1,14,-1.2,0.0,0.0,0.0,0.0,texas_nebraska_12_5_2009,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009-12-05,nebraska,texas,12.0,13.0,Win
Total,20,36,3,184,0,25,9,38,81,63,18,1,14,0.5,20.0,184.0,0.0,25.0,texas_nebraska_12_5_2009,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009-12-05,nebraska,texas,12.0,13.0,Win
"Newton, Tre'",0,0,0,0,0,0,0,19,42,6,36,0,8,1.9,5.0,43.0,0.0,25.0,texas_nebraska_12_5_2009,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009-12-05,nebraska,texas,12.0,13.0,Win
"Johnson, Cody",0,0,0,0,0,0,0,1,2,0,2,0,2,2.0,0.0,0.0,0.0,0.0,texas_nebraska_12_5_2009,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009-12-05,nebraska,texas,12.0,13.0,Win
"Whittaker, Foswhitt",0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,texas_nebraska_12_5_2009,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009-12-05,nebraska,texas,12.0,13.0,Win
"Shipley, Jordan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,71.0,0.0,19.0,texas_nebraska_12_5_2009,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009-12-05,nebraska,texas,12.0,13.0,Win
"Williams, Malcolm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,52.0,0.0,20.0,texas_nebraska_12_5_2009,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009-12-05,nebraska,texas,12.0,13.0,Win
"Buckner, Dan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,14.0,0.0,8.0,texas_nebraska_12_5_2009,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009-12-05,nebraska,texas,12.0,13.0,Win
"Goodwin, Marquise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,0.0,6.0,texas_nebraska_12_5_2009,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/big12fb.html,2009-12-05,nebraska,texas,12.0,13.0,Win
"McCoy, Colt",32,41,0,396,4,68,3,12,44,15,29,0,11,2.4,0.0,0.0,0.0,0.0,kansas_texas_11_21_2009,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,2009-11-21,texas,kansas,51.0,20.0,Win
"Gilbert, Garrett",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,kansas_texas_11_21_2009,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,2009-11-21,texas,kansas,51.0,20.0,Win
Total,32,42,0,396,4,68,3,40,153,17,136,2,19,3.4,32.0,396.0,4.0,68.0,kansas_texas_11_21_2009,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,2009-11-21,texas,kansas,51.0,20.0,Win
"Newton, Tre'",0,0,0,0,0,0,0,12,66,0,66,1,19,5.5,3.0,36.0,0.0,17.0,kansas_texas_11_21_2009,https://stats.texassports.com/custompages/sports/m-footbl/2009-2010/ut11.html,2009-11-21,texas,kansas,51.0,20.0,Win
