,PlayerID,Completions,Pass Attempts,Interceptions,Pass Yards,Passing TDs,Rush Attempts,Net Rush Yards,Rushing TDs,Yards Per Rush,Catches,Receiving Yards,Receiving TDs,Total Yards,Total TDs,First,Last,Start,End
0,7521,1136.0,1616.0,44.0,12936.0,110.0,440.0,1574.0,20.0,160.8,0.0,0.0,0.0,14510.0,130.0,Colt,McCoy,2006.0,2009.0
1,9178,923.0,1476.0,27.0,11436.0,94.0,554.0,1903.0,33.0,157.8,9.0,115.0,0.0,13454.0,127.0,Sam,Ehlinger,2017.0,2020.0
2,6358,646.0,1118.0,30.0,8642.0,63.0,121.0,-336.0,3.0,-88.2,0.0,0.0,0.0,8306.0,66.0,Major,Applewhite,1998.0,2001.0
3,5793,601.0,1112.0,42.0,8226.0,54.0,212.0,401.0,6.0,64.80000000000001,0.0,0.0,0.0,8627.0,60.0,James,Brown,1994.0,1997.0
4,5109,568.0,1041.0,49.0,7436.0,37.0,354.0,-10.0,12.0,-13.9,1.0,18.0,1.0,7444.0,50.0,Peter,Gardere,1989.0,1992.0
5,6444,532.0,915.0,34.0,7014.0,56.0,166.0,-134.0,11.0,-44.0,0.0,0.0,0.0,6880.0,67.0,Chris,Simms,1999.0,2002.0
6,7061,444.0,718.0,28.0,6040.0,44.0,457.0,3127.0,37.0,271.6,1.0,48.0,0.0,9215.0,81.0,Vince,Young,2003.0,2005.0
7,9905,444.0,690.0,12.0,5656.0,37.0,83.0,23.0,6.0,-4.199999999999999,1.0,3.0,0.0,5682.0,43.0,Quinn,Ewers,2022.0,2023.0
8,4497,407.0,770.0,38.0,5187.0,27.0,282.0,690.0,12.0,85.0,0.0,0.0,0.0,5877.0,39.0,Bret,Stafford,1984.0,1987.0
9,8995,403.0,648.0,16.0,4636.0,30.0,168.0,268.0,4.0,34.0,0.0,0.0,0.0,4904.0,34.0,Shane,Buechele,2016.0,2018.0
10,8293,325.0,523.0,16.0,4037.0,25.0,142.0,297.0,3.0,61.7,2.0,27.0,1.0,4361.0,29.0,David,Ash,2011.0,2013.0
11,5526,312.0,579.0,24.0,3774.0,25.0,99.0,-37.0,1.0,-34.4,0.0,0.0,0.0,3737.0,26.0,Shea,Morenz,1992.0,1994.0
12,8266,327.0,545.0,20.0,3676.0,24.0,63.0,-33.0,3.0,-21.6,0.0,0.0,0.0,3643.0,27.0,Case,McCoy,2010.0,2013.0
13,8668,281.0,499.0,13.0,3038.0,17.0,256.0,966.0,24.0,147.3,0.0,0.0,0.0,4004.0,41.0,Tyrone,Swoopes,2013.0,2016.0
14,4037,180.0,407.0,37.0,3024.0,20.0,122.0,-167.0,4.0,-35.5,0.0,0.0,0.0,2857.0,24.0,Todd,Dodge,1981.0,1985.0
15,3834,158.0,381.0,23.0,2761.0,15.0,131.0,-56.0,0.0,-38.9,0.0,0.0,0.0,2705.0,15.0,Rick,McIvor,1979.0,1983.0
16,7997,259.0,447.0,19.0,2658.0,10.0,105.0,374.0,5.0,40.2,0.0,0.0,0.0,3032.0,15.0,Garrett,Gilbert,2009.0,2011.0
17,9493,185.0,290.0,9.0,2422.0,30.0,73.0,210.0,5.0,52.3,0.0,0.0,0.0,2632.0,35.0,Casey,Thompson,2019.0,2021.0
18,2411,125.0,253.0,26.0,2152.0,12.0,214.0,884.0,10.0,94.6,0.0,0.0,0.0,3036.0,22.0,James,Street,1967.0,1969.0
19,3656,155.0,324.0,18.0,2072.0,9.0,341.0,1358.0,11.0,136.2,25.0,430.0,3.0,3860.0,23.0,Donnie,Little,1978.0,1981.0
20,3998,137.0,279.0,13.0,2020.0,15.0,96.0,74.0,9.0,15.2,0.0,0.0,0.0,2094.0,24.0,Robert,Brewer,1980.0,1982.0
21,2265,114.0,253.0,28.0,1782.0,8.0,340.0,971.0,18.0,65.4,6.0,87.0,1.0,2840.0,27.0,Bill,Bradley,1966.0,1968.0
22,3528,96.0,211.0,18.0,1724.0,16.0,183.0,279.0,5.0,22.0,0.0,0.0,0.0,2003.0,21.0,Randy,McEachern,1977.0,1978.0
23,852,142.0,288.0,30.0,1670.0,13.0,91.0,171.0,4.0,23.8,0.0,0.0,0.0,1841.0,17.0,Joe,Clements,1955.0,1957.0
24,6763,115.0,213.0,2.0,1613.0,17.0,52.0,-39.0,1.0,14.8,0.0,0.0,0.0,1574.0,18.0,Chance,Mock,2001.0,2004.0
25,9637,127.0,194.0,2.0,1523.0,11.0,47.0,74.0,1.0,42.3,0.0,0.0,0.0,1597.0,12.0,Hudson,Card,2020.0,2022.0
26,4996,124.0,268.0,14.0,1519.0,13.0,45.0,-194.0,2.0,-51.5,0.0,0.0,0.0,1325.0,15.0,Mark,Murdock,1988.0,1990.0
27,4681,118.0,210.0,15.0,1404.0,4.0,50.0,74.0,2.0,25.6,0.0,0.0,0.0,1478.0,6.0,Shannon,Kelley,1985.0,1988.0
28,2969,100.0,205.0,11.0,1360.0,8.0,448.0,2055.0,26.0,179.3,0.0,0.0,0.0,3415.0,34.0,Marty,Akins,1972.0,1975.0
29,2576,75.0,181.0,8.0,1325.0,6.0,288.0,1365.0,19.0,128.9,0.0,0.0,0.0,2690.0,25.0,Eddie,Phillips,1969.0,1971.0
30,5915,98.0,174.0,6.0,1287.0,5.0,30.0,-119.0,0.0,-55.0,1.0,6.0,0.0,1174.0,5.0,Richard,Walton,1995.0,1998.0
31,1341,91.0,174.0,13.0,1277.0,12.0,194.0,402.0,9.0,68.1,1.0,-3.0,0.0,1676.0,21.0,Mike,Cotten,1959.0,1961.0
32,8867,95.0,163.0,5.0,1243.0,5.0,159.0,600.0,5.0,48.3,58.0,540.0,4.0,2383.0,14.0,Jerrod,Heard,2015.0,2018.0
33,578,75.0,168.0,19.0,1174.0,9.0,100.0,285.0,8.0,55.4,0.0,0.0,0.0,1459.0,17.0,Charles,Brewer,1953.0,1955.0
34,266,71.0,133.0,9.0,1058.0,8.0,59.0,-79.0,4.0,-14.6,0.0,0.0,0.0,979.0,12.0,Ben,Tompkins,1950.0,1950.0
35,470,65.0,138.0,13.0,1050.0,7.0,87.0,306.0,4.0,48.1,0.0,0.0,0.0,1356.0,11.0,James T.,Jones,1952.0,1952.0
36,2149,72.0,148.0,8.0,1005.0,8.0,86.0,116.0,4.0,4.6,0.0,0.0,0.0,1121.0,12.0,Marvin,Kristynik,1965.0,1965.0
37,3,63.0,115.0,7.0,965.0,9.0,43.0,96.0,2.0,5.199999999999999,0.0,0.0,0.0,1061.0,11.0,Bobby,Layne,1947.0,1947.0
38,2574,62.0,129.0,6.0,936.0,2.0,186.0,743.0,20.0,108.6,1.0,8.0,0.0,1687.0,22.0,Donn,Wigginton,1969.0,1971.0
39,4,61.0,135.0,14.0,916.0,6.0,39.0,-106.0,0.0,-46.9,0.0,0.0,0.0,810.0,6.0,Paul,Campbell,1947.0,1948.0
40,1619,56.0,136.0,6.0,911.0,3.0,187.0,591.0,4.0,76.7,0.0,0.0,0.0,1502.0,7.0,Duke,Carlisle,1961.0,1963.0
41,4038,45.0,113.0,8.0,886.0,5.0,107.0,282.0,4.0,67.5,12.0,115.0,0.0,1283.0,9.0,Rob,Moerschell,1981.0,1984.0
42,2931,51.0,128.0,8.0,827.0,1.0,185.0,782.0,13.0,44.9,0.0,0.0,0.0,1609.0,14.0,Alan,Lowry,1971.0,1972.0
43,1632,61.0,154.0,11.0,774.0,3.0,60.0,121.0,4.0,23.7,0.0,0.0,0.0,895.0,7.0,Tommy,Wade,1961.0,1963.0
44,1495,53.0,101.0,6.0,694.0,3.0,80.0,213.0,1.0,66.1,1.0,38.0,0.0,945.0,4.0,Johnny,Genung,1960.0,1962.0
45,3491,38.0,88.0,9.0,683.0,6.0,126.0,374.0,3.0,49.1,0.0,0.0,0.0,1057.0,9.0,Mark,McBath,1976.0,1978.0
46,1099,43.0,116.0,11.0,681.0,5.0,146.0,211.0,15.0,40.4,0.0,0.0,0.0,892.0,20.0,Bobby,Lackey,1957.0,1959.0
47,1898,47.0,115.0,10.0,623.0,3.0,117.0,402.0,4.0,57.7,0.0,0.0,0.0,1025.0,7.0,Marv,Kristynik,1963.0,1964.0
48,3038,38.0,97.0,10.0,584.0,1.0,108.0,521.0,12.0,89.1,0.0,0.0,0.0,1105.0,13.0,Mike,Presley,1973.0,1974.0
